Date,Description,Category,Full Amount,Business Use %,Company Amount,Notes
2026-02-01,Claude Max subscription,Software / AI Tools,200.00,0.80,160.00,Shared personal/business use; 80% estimated business utilization
2026-02-01,ChatGPT Pro subscription,Software / AI Tools,20.00,0.80,16.00,Shared personal/business use; 80% estimated business utilization
2026-02-01,Google One AI Pro subscription,Software / AI Tools,20.00,0.80,16.00,Shared personal/business use; 80% estimated business utilization
2026-02-01,Google Workspace (1 user),Software / Productivity,7.00,1.00,7.00,Business email and productivity suite
2026-02-01,Phone line (reserved for business),Communications,90.00,1.00,90.00,Second line reserved for future company use
2026-02-15,"Company domains — annual renewal (resengi.io, emojitions.app, emojitions.com)",Infrastructure / Domains,120.00,1.00,120.00,Annual renewal via Squarespace
2026-03-01,Claude Max subscription,Software / AI Tools,200.00,0.80,160.00,Shared personal/business use; 80% estimated business utilization
2026-03-01,ChatGPT Pro subscription,Software / AI Tools,20.00,0.80,16.00,Shared personal/business use; 80% estimated business utilization
2026-03-01,Google One AI Pro subscription,Software / AI Tools,20.00,0.80,16.00,Shared personal/business use; 80% estimated business utilization
2026-03-01,Google Workspace (1 user),Software / Productivity,7.00,1.00,7.00,Business email and productivity suite
2026-03-01,Phone line (reserved for business),Communications,90.00,1.00,90.00,Second line reserved for future company use
2026-04-01,Claude Max subscription,Software / AI Tools,200.00,0.80,160.00,Shared personal/business use; 80% estimated business utilization
2026-04-01,ChatGPT Pro subscription,Software / AI Tools,20.00,0.80,16.00,Shared personal/business use; 80% estimated business utilization
2026-04-01,Google One AI Pro subscription,Software / AI Tools,20.00,0.80,16.00,Shared personal/business use; 80% estimated business utilization
2026-04-01,Google Workspace (1 user),Software / Productivity,7.00,1.00,7.00,Business email and productivity suite
2026-04-01,Phone line (reserved for business),Communications,90.00,1.00,90.00,Second line reserved for future company use
